mouse,distance_microns,grey_value,grey_value_normalised,min,max
A,0,13.8261,0.109626156,12.1429,27.4969
A,0.624,13.2112,0.06957796,12.1429,27.4969
A,1.248,13.0932,0.061892666,12.1429,27.4969
A,1.872,13.2112,0.06957796,12.1429,27.4969
A,2.496,13.5839,0.093851765,12.1429,27.4969
A,3.12,13.3354,0.077667057,12.1429,27.4969
A,3.744,12.6025,0.029933568,12.1429,27.4969
A,4.367,12.1429,0,12.1429,27.4969
A,4.991,12.7826,0.04166341,12.1429,27.4969
A,5.615,14,0.120952195,12.1429,27.4969
A,6.239,15.0186,0.187293213,12.1429,27.4969
A,6.863,16.3789,0.275889019,12.1429,27.4969
A,7.487,18.5714,0.418685685,12.1429,27.4969
A,8.111,21.3168,0.59749251,12.1429,27.4969
A,8.735,22.4099,0.668685685,12.1429,27.4969
A,9.359,21.7205,0.623785333,12.1429,27.4969
A,9.983,20.3913,0.537215058,12.1429,27.4969
A,10.607,19.8758,0.503640745,12.1429,27.4969
A,11.231,20.2919,0.530741175,12.1429,27.4969
A,11.855,20.7143,0.558251921,12.1429,27.4969
A,12.479,21.3975,0.602748469,12.1429,27.4969
A,13.102,21.6957,0.622170119,12.1429,27.4969
A,13.726,21.3913,0.602344666,12.1429,27.4969
A,14.35,21.2236,0.591422431,12.1429,27.4969
A,14.974,20.7143,0.558251921,12.1429,27.4969
A,15.598,20.3106,0.531959099,12.1429,27.4969
A,16.222,20.8944,0.569981764,12.1429,27.4969
A,16.846,21.8447,0.63187443,12.1429,27.4969
A,17.47,21.3602,0.600319135,12.1429,27.4969
A,18.094,21.1056,0.583737137,12.1429,27.4969
A,18.718,20.9752,0.575244236,12.1429,27.4969
A,19.342,21.1056,0.583737137,12.1429,27.4969
A,19.966,22.3478,0.664641136,12.1429,27.4969
A,20.59,22.528,0.676377491,12.1429,27.4969
A,21.213,23.4037,0.733411489,12.1429,27.4969
A,21.837,25.5963,0.876214667,12.1429,27.4969
A,22.461,27.1925,0.980174547,12.1429,27.4969
A,23.085,25.2919,0.856389215,12.1429,27.4969
A,23.709,23.913,0.766581998,12.1429,27.4969
A,24.333,24.8199,0.82564804,12.1429,27.4969
A,24.957,26.7702,0.952670314,12.1429,27.4969
A,25.581,27.4969,1,12.1429,27.4969
A,26.205,26.5776,0.940126351,12.1429,27.4969
A,26.829,24.9814,0.836166471,12.1429,27.4969
A,27.453,23.8385,0.761729842,12.1429,27.4969
A,28.077,24.0435,0.775081412,12.1429,27.4969
A,28.701,24.1553,0.782362902,12.1429,27.4969
A,29.325,23.9379,0.768203725,12.1429,27.4969
A,29.948,23.0497,0.710355608,12.1429,27.4969
A,30.572,22.7888,0.693363293,12.1429,27.4969
A,31.196,22.6149,0.682037254,12.1429,27.4969
A,31.82,22.3851,0.66707047,12.1429,27.4969
A,32.444,23.1242,0.715207763,12.1429,27.4969
A,33.068,24,0.772248274,12.1429,27.4969
A,33.692,24.1988,0.78519604,12.1429,27.4969
A,34.316,24.6522,0.814725804,12.1429,27.4969
A,34.94,25.3665,0.861247883,12.1429,27.4969
A,35.564,24.8447,0.827263254,12.1429,27.4969
A,36.188,23.9193,0.766992315,12.1429,27.4969
A,36.812,23.7019,0.752833138,12.1429,27.4969
A,37.436,24.0994,0.778722157,12.1429,27.4969
A,38.059,24.2484,0.788426469,12.1429,27.4969
A,38.683,24.5342,0.807040511,12.1429,27.4969
A,39.307,24.1553,0.782362902,12.1429,27.4969
A,39.931,23.5528,0.743122313,12.1429,27.4969
A,40.555,23.5652,0.743929921,12.1429,27.4969
A,41.179,23.3665,0.730988667,12.1429,27.4969
A,41.803,22.0373,0.644418393,12.1429,27.4969
A,42.427,21.1429,0.586166471,12.1429,27.4969
A,43.051,22.3043,0.661807998,12.1429,27.4969
A,43.675,22.8509,0.697407842,12.1429,27.4969
A,44.299,23.2174,0.721277843,12.1429,27.4969
A,44.923,23.1304,0.715611567,12.1429,27.4969
A,45.547,22.9068,0.701048587,12.1429,27.4969
A,46.171,22.9193,0.701862707,12.1429,27.4969
A,46.794,23.677,0.751211411,12.1429,27.4969
A,47.418,24.6398,0.813918197,12.1429,27.4969
A,48.042,24.3354,0.794092745,12.1429,27.4969
A,48.666,22.9938,0.706714863,12.1429,27.4969
A,49.29,21.1988,0.589807216,12.1429,27.4969
A,49.914,20.5217,0.545707959,12.1429,27.4969
A,50.538,21.6708,0.620548391,12.1429,27.4969
A,51.162,22.0186,0.643200469,12.1429,27.4969
A,51.786,20.6894,0.556630194,12.1429,27.4969
A,52.41,19.8882,0.504448352,12.1429,27.4969
A,53.034,19.795,0.498378273,12.1429,27.4969
A,53.658,19.1925,0.459137684,12.1429,27.4969
A,54.282,19.3478,0.469252312,12.1429,27.4969
A,54.905,20.7453,0.560270939,12.1429,27.4969
A,55.529,21.7081,0.622977726,12.1429,27.4969
A,56.153,21.0683,0.581307803,12.1429,27.4969
A,56.777,20.9317,0.572411098,12.1429,27.4969
A,57.401,20.4286,0.539644392,12.1429,27.4969
A,58.025,19.2236,0.461163215,12.1429,27.4969
A,58.649,19.4596,0.476533802,12.1429,27.4969
A,59.273,19.8385,0.501211411,12.1429,27.4969
A,59.897,19.8075,0.499192393,12.1429,27.4969
A,60.521,19.4472,0.475726195,12.1429,27.4969
A,61.145,18.9814,0.445388824,12.1429,27.4969
A,61.769,18.5217,0.415448743,12.1429,27.4969
A,62.393,18.5404,0.416666667,12.1429,27.4969
A,63.017,18.8012,0.433652468,12.1429,27.4969
A,63.64,18.8696,0.438107334,12.1429,27.4969
A,64.264,18.6398,0.42314055,12.1429,27.4969
A,64.888,18.8758,0.438511137,12.1429,27.4969
A,65.512,18.9503,0.443363293,12.1429,27.4969
A,66.136,19.4658,0.476937606,12.1429,27.4969
A,66.76,19.5714,0.483815292,12.1429,27.4969
A,67.384,19.2484,0.462778429,12.1429,27.4969
A,68.008,18.3478,0.404122704,12.1429,27.4969
A,68.632,17.9255,0.376618471,12.1429,27.4969
A,69.256,18.5839,0.419499805,12.1429,27.4969
A,69.88,19.2857,0.465207763,12.1429,27.4969
A,70.504,18.7143,0.427992705,12.1429,27.4969
A,71.128,17.7329,0.364074508,12.1429,27.4969
A,71.751,17.9006,0.374996744,12.1429,27.4969
A,72.375,18.4845,0.413025922,12.1429,27.4969
A,72.999,19.1925,0.459137684,12.1429,27.4969
A,73.623,19.4658,0.476937606,12.1429,27.4969
A,74.247,18.8012,0.433652468,12.1429,27.4969
A,74.871,18.9068,0.440530155,12.1429,27.4969
A,75.495,17.9255,0.376618471,12.1429,27.4969
A,76.119,17.0497,0.31957796,12.1429,27.4969
A,76.743,17.5466,0.351940862,12.1429,27.4969
A,77.367,18.3043,0.401289566,12.1429,27.4969
A,77.991,19.0124,0.447407842,12.1429,27.4969
A,78.615,18.9255,0.441748079,12.1429,27.4969
A,79.239,17.205,0.329692588,12.1429,27.4969
A,79.863,14.8012,0.173134037,12.1429,27.4969
A,80.486,14.3354,0.142796665,12.1429,27.4969
A,81.11,14.0497,0.124189136,12.1429,27.4969
A,81.734,14.2112,0.134707568,12.1429,27.4969
A,82.358,14.5466,0.156552039,12.1429,27.4969
A,82.982,15.2547,0.202670314,12.1429,27.4969
A,83.606,15.2547,0.202670314,12.1429,27.4969
A,84.23,14.4472,0.150078156,12.1429,27.4969
A,84.854,14.0248,0.122567409,12.1429,27.4969
A,85.478,14.5652,0.157763449,12.1429,27.4969
A,86.102,14.8447,0.175967175,12.1429,27.4969
A,86.726,14.5652,0.157763449,12.1429,27.4969
A,87.35,14.677,0.165044939,12.1429,27.4969
A,87.974,14.7205,0.167878077,12.1429,27.4969
A,88.597,14.205,0.134303764,12.1429,27.4969
A,89.221,14.6522,0.163429725,12.1429,27.4969
A,89.845,15.3727,0.210355608,12.1429,27.4969
A,90.469,15.4845,0.217637098,12.1429,27.4969
A,91.093,15.0311,0.188107334,12.1429,27.4969
A,91.717,14.7888,0.17232643,12.1429,27.4969
A,92.341,14.8447,0.175967175,12.1429,27.4969
A,92.965,14.7143,0.167474274,12.1429,27.4969
A,93.589,14.9317,0.181633451,12.1429,27.4969
A,94.213,14.7143,0.167474274,12.1429,27.4969
A,94.837,14.9193,0.180825843,12.1429,27.4969
A,95.461,15.6087,0.225726195,12.1429,27.4969
A,96.085,15.4969,0.218444705,12.1429,27.4969
A,96.708,15.0497,0.189318744,12.1429,27.4969
A,97.332,14.6894,0.165852547,12.1429,27.4969
A,97.956,14.4472,0.150078156,12.1429,27.4969
A,98.58,14.4596,0.150885763,12.1429,27.4969
A,99.204,14.6894,0.165852547,12.1429,27.4969
A,99.828,14.559,0.157359646,12.1429,27.4969
A,100.452,14.8012,0.173134037,12.1429,27.4969
A,101.076,14.9441,0.182441058,12.1429,27.4969
A,101.7,14.9814,0.184870392,12.1429,27.4969
A,102.324,14.5155,0.154526508,12.1429,27.4969
A,102.948,14.7826,0.171922626,12.1429,27.4969
A,103.572,15.4658,0.216419174,12.1429,27.4969
A,104.196,15.8944,0.244333724,12.1429,27.4969
A,104.82,15.9379,0.247166862,12.1429,27.4969
A,105.443,15.6149,0.226129999,12.1429,27.4969
A,106.067,15.441,0.21480396,12.1429,27.4969
A,106.691,15.6708,0.229770744,12.1429,27.4969
A,107.315,15.6522,0.228559333,12.1429,27.4969
A,107.939,15.9627,0.248782076,12.1429,27.4969
A,108.563,15.7267,0.233411489,12.1429,27.4969
A,109.187,14.8012,0.173134037,12.1429,27.4969
A,109.811,14.3913,0.14643741,12.1429,27.4969
A,110.435,14.9317,0.181633451,12.1429,27.4969
A,111.059,14.5776,0.158571056,12.1429,27.4969
A,111.683,14.0062,0.121355998,12.1429,27.4969
A,112.307,14.5466,0.156552039,12.1429,27.4969
A,112.931,14.8447,0.175967175,12.1429,27.4969
A,113.554,14.8509,0.176370978,12.1429,27.4969
A,114.178,15.1491,0.195792627,12.1429,27.4969
A,114.802,15.7329,0.233815292,12.1429,27.4969
A,115.426,15.8385,0.240692979,12.1429,27.4969
A,116.05,15.2733,0.203881725,12.1429,27.4969
A,116.674,15.2298,0.201048587,12.1429,27.4969
A,117.298,15.6584,0.228963137,12.1429,27.4969
A,117.922,15.3478,0.20873388,12.1429,27.4969
A,118.546,14.6957,0.166262863,12.1429,27.4969
A,119.17,14.5466,0.156552039,12.1429,27.4969
A,119.794,14.4907,0.152911293,12.1429,27.4969
A,120.418,14.528,0.155340628,12.1429,27.4969
A,121.042,14.6335,0.162211801,12.1429,27.4969
A,121.666,14.8199,0.17435196,12.1429,27.4969
A,122.289,15.2174,0.20024098,12.1429,27.4969
A,122.913,15.4783,0.217233294,12.1429,27.4969
A,123.537,15.1925,0.198619252,12.1429,27.4969
A,124.161,14.2981,0.140367331,12.1429,27.4969
A,124.785,14.3292,0.142392862,12.1429,27.4969
A,125.409,15.3043,0.205900742,12.1429,27.4969
A,126.033,15.4596,0.216015371,12.1429,27.4969
A,126.657,14.677,0.165044939,12.1429,27.4969
A,127.281,14.528,0.155340628,12.1429,27.4969
A,127.905,15.0932,0.192151882,12.1429,27.4969
A,128.529,15.3292,0.20752247,12.1429,27.4969
A,129.153,15.2795,0.204285528,12.1429,27.4969
A,129.777,15.0373,0.188511137,12.1429,27.4969
A,130.4,15.0683,0.190530155,12.1429,27.4969
A,131.024,15.2733,0.203881725,12.1429,27.4969
A,131.648,14.9876,0.185274196,12.1429,27.4969
A,132.272,14.9938,0.185677999,12.1429,27.4969
A,132.896,15.6335,0.227341409,12.1429,27.4969
A,133.52,15.5093,0.219252312,12.1429,27.4969
A,134.144,14.6894,0.165852547,12.1429,27.4969
A,134.768,14.441,0.149674352,12.1429,27.4969
A,135.392,15.205,0.199433372,12.1429,27.4969
A,136.016,15.7267,0.233411489,12.1429,27.4969
A,136.64,15.1118,0.193363293,12.1429,27.4969
A,137.264,15.1118,0.193363293,12.1429,27.4969
A,137.888,15.8696,0.24271851,12.1429,27.4969
A,138.512,15.9068,0.245141331,12.1429,27.4969
A,139.135,15.0994,0.192555686,12.1429,27.4969
A,139.759,15.3975,0.211970822,12.1429,27.4969
A,140.383,16.0994,0.257685294,12.1429,27.4969
A,141.007,16.205,0.26456298,12.1429,27.4969
A,141.631,15.6087,0.225726195,12.1429,27.4969
A,142.255,15.1739,0.197407842,12.1429,27.4969
A,142.879,14.5404,0.156148235,12.1429,27.4969
A,143.503,14.0621,0.124996744,12.1429,27.4969
