mouse,distance_microns,grey_value,grey_value_normalised,,
A,0,7.8261,0,7.8261,26.7267
A,0.624,8.2484,0.022343206,7.8261,26.7267
A,1.248,9.8882,0.109102357,7.8261,26.7267
A,1.872,11.1429,0.175486492,7.8261,26.7267
A,2.496,11.0373,0.169899368,7.8261,26.7267
A,3.12,11.3106,0.184359227,7.8261,26.7267
A,3.744,13.2298,0.285900977,7.8261,26.7267
A,4.367,15.1304,0.386458631,7.8261,26.7267
A,4.991,15.5155,0.406833645,7.8261,26.7267
A,5.615,15.2733,0.394019237,7.8261,26.7267
A,6.239,15.5776,0.410119255,7.8261,26.7267
A,6.863,16.3106,0.448901093,7.8261,26.7267
A,7.487,16.7267,0.470916267,7.8261,26.7267
A,8.111,16.0373,0.434441235,7.8261,26.7267
A,8.735,16.1801,0.44199655,7.8261,26.7267
A,9.359,16.4658,0.457112473,7.8261,26.7267
A,9.983,17.5652,0.515279938,7.8261,26.7267
A,10.607,18.6522,0.57279134,7.8261,26.7267
A,11.231,18.8323,0.582320138,7.8261,26.7267
A,11.855,19.677,0.627011841,7.8261,26.7267
A,12.479,20.8323,0.688136885,7.8261,26.7267
A,13.102,21.5963,0.728558882,7.8261,26.7267
A,13.726,21.7453,0.736442229,7.8261,26.7267
A,14.35,21.9441,0.746960414,7.8261,26.7267
A,14.974,21.2112,0.708183867,7.8261,26.7267
A,15.598,20.7516,0.683867179,7.8261,26.7267
A,16.222,21.5652,0.726913431,7.8261,26.7267
A,16.846,21.9565,0.747616478,7.8261,26.7267
A,17.47,20.8137,0.687152789,7.8261,26.7267
A,18.094,21.0435,0.699311133,7.8261,26.7267
A,18.718,22.2298,0.762076336,7.8261,26.7267
A,19.342,22.7516,0.789683925,7.8261,26.7267
A,19.966,22.9317,0.799212723,7.8261,26.7267
A,20.59,22.3602,0.768975588,7.8261,26.7267
A,21.213,22.7205,0.788038475,7.8261,26.7267
A,21.837,23.4845,0.828460472,7.8261,26.7267
A,22.461,22.6522,0.784424833,7.8261,26.7267
A,23.085,22.4286,0.772594521,7.8261,26.7267
A,23.709,21.7702,0.737759648,7.8261,26.7267
A,24.333,22.1801,0.75944679,7.8261,26.7267
A,24.957,22.9193,0.79855666,7.8261,26.7267
A,25.581,23.3416,0.820899866,7.8261,26.7267
A,26.205,22.8323,0.793953631,7.8261,26.7267
A,26.829,22.4348,0.772922553,7.8261,26.7267
A,27.453,23.5963,0.834375628,7.8261,26.7267
A,28.077,25.0621,0.911928722,7.8261,26.7267
A,28.701,24.5776,0.886294615,7.8261,26.7267
A,29.325,22.5652,0.779821805,7.8261,26.7267
A,29.948,21.5776,0.727569495,7.8261,26.7267
A,30.572,21.2547,0.710485381,7.8261,26.7267
A,31.196,21.2671,0.711141445,7.8261,26.7267
A,31.82,22.205,0.760764209,7.8261,26.7267
A,32.444,22.4472,0.773578617,7.8261,26.7267
A,33.068,22.087,0.75452102,7.8261,26.7267
A,33.692,22.2112,0.76109224,7.8261,26.7267
A,34.316,22.0807,0.754187698,7.8261,26.7267
A,34.94,23.1988,0.81334455,7.8261,26.7267
A,35.564,25.5466,0.937562829,7.8261,26.7267
A,36.188,26.7267,1,7.8261,26.7267
A,36.812,25.5963,0.940192375,7.8261,26.7267
A,37.436,24.3106,0.872168079,7.8261,26.7267
A,38.059,23.7205,0.840946848,7.8261,26.7267
A,38.683,24.1863,0.865591569,7.8261,26.7267
A,39.307,24.4099,0.877421881,7.8261,26.7267
A,39.931,24.7019,0.892871126,7.8261,26.7267
A,40.555,24.5776,0.886294615,7.8261,26.7267
A,41.179,25.6087,0.940848439,7.8261,26.7267
A,41.803,25.3789,0.928690094,7.8261,26.7267
A,42.427,26.0186,0.962535581,7.8261,26.7267
A,43.051,25.0373,0.910616594,7.8261,26.7267
A,43.675,24.1429,0.863295345,7.8261,26.7267
A,44.299,23.4286,0.825502894,7.8261,26.7267
A,44.923,24.7516,0.895500672,7.8261,26.7267
A,45.547,26.4099,0.983238627,7.8261,26.7267
A,46.171,25.6149,0.941176471,7.8261,26.7267
A,46.794,23.913,0.85113171,7.8261,26.7267
A,47.418,23.528,0.830761986,7.8261,26.7267
A,48.042,24.1988,0.866252923,7.8261,26.7267
A,48.666,24.528,0.88367036,7.8261,26.7267
A,49.29,24.0683,0.85934838,7.8261,26.7267
A,49.914,24.5652,0.885638551,7.8261,26.7267
A,50.538,23.8882,0.849819582,7.8261,26.7267
A,51.162,24.4907,0.881696877,7.8261,26.7267
A,51.786,23.9814,0.854750643,7.8261,26.7267
A,52.41,23.8758,0.849163519,7.8261,26.7267
A,53.034,24.7702,0.896484768,7.8261,26.7267
A,53.658,25.2422,0.92145752,7.8261,26.7267
A,54.282,26.0124,0.962207549,7.8261,26.7267
A,54.905,24.8696,0.90174386,7.8261,26.7267
A,55.529,24.5652,0.885638551,7.8261,26.7267
A,56.153,24.4348,0.878739299,7.8261,26.7267
A,56.777,22.7578,0.790011957,7.8261,26.7267
A,57.401,22.5963,0.781467255,7.8261,26.7267
A,58.025,23.1677,0.811699099,7.8261,26.7267
A,58.649,24.7329,0.894511285,7.8261,26.7267
A,59.273,25.0932,0.913574172,7.8261,26.7267
A,59.897,25.441,0.931975704,7.8261,26.7267
A,60.521,23.9503,0.853105192,7.8261,26.7267
A,61.145,22.9317,0.799212723,7.8261,26.7267
A,61.769,23.0186,0.803810461,7.8261,26.7267
A,62.393,23.0373,0.804799848,7.8261,26.7267
A,63.017,23.3975,0.823857444,7.8261,26.7267
A,63.64,23.3354,0.820571834,7.8261,26.7267
A,64.264,24.0062,0.85606277,7.8261,26.7267
A,64.888,23.5404,0.83141805,7.8261,26.7267
