mouse,distance_microns,grey_value,grey_value_normalised,min,max
A,0,1.857,0.005332127,0.596,237.087
A,0.624,3.789,0.013501571,0.596,237.087
A,1.248,6.466,0.024821241,0.596,237.087
A,1.872,5.963,0.02269431,0.596,237.087
A,2.496,5.211,0.019514485,0.596,237.087
A,3.12,8.621,0.033933638,0.596,237.087
A,3.744,18.317,0.074933084,0.596,237.087
A,4.367,23.994,0.098938226,0.596,237.087
A,4.991,28.801,0.119264581,0.596,237.087
A,5.615,41.925,0.174759293,0.596,237.087
A,6.239,60.553,0.253527618,0.596,237.087
A,6.863,83.422,0.350228973,0.596,237.087
A,7.487,94.888,0.398712847,0.596,237.087
A,8.111,93.453,0.392644963,0.596,237.087
A,8.735,102.385,0.430413842,0.596,237.087
A,9.359,123.205,0.518451019,0.596,237.087
A,9.983,140.994,0.593671641,0.596,237.087
A,10.607,154.025,0.648773103,0.596,237.087
A,11.231,161.441,0.680131591,0.596,237.087
A,11.855,166.596,0.70192946,0.596,237.087
A,12.479,172.093,0.725173474,0.596,237.087
A,13.102,183.658,0.774075969,0.596,237.087
A,13.726,194.106,0.81825524,0.596,237.087
A,14.35,202.13,0.85218465,0.596,237.087
A,14.974,207.814,0.876219391,0.596,237.087
A,15.598,210.64,0.888169106,0.596,237.087
A,16.222,215.876,0.910309483,0.596,237.087
A,16.846,217.28,0.916246284,0.596,237.087
A,17.47,219.217,0.924436871,0.596,237.087
A,18.094,219.354,0.925016174,0.596,237.087
A,18.718,222.236,0.937202684,0.596,237.087
A,19.342,218.776,0.922572106,0.596,237.087
A,19.966,220.814,0.93118977,0.596,237.087
A,20.59,225.733,0.951989716,0.596,237.087
A,21.213,221.248,0.933024935,0.596,237.087
A,21.837,220.311,0.92906284,0.596,237.087
A,22.461,221.137,0.932555573,0.596,237.087
A,23.085,223.882,0.94416278,0.596,237.087
A,23.709,227.286,0.958556562,0.596,237.087
A,24.333,231.727,0.97733529,0.596,237.087
A,24.957,229.422,0.967588619,0.596,237.087
A,25.581,228.745,0.96472593,0.596,237.087
A,26.205,227.497,0.959448774,0.596,237.087
A,26.829,222.559,0.938568487,0.596,237.087
A,27.453,217.882,0.918791836,0.596,237.087
A,28.077,219.124,0.924043621,0.596,237.087
A,28.701,209.87,0.884913168,0.596,237.087
A,29.325,209.46,0.883179487,0.596,237.087
A,29.948,224.484,0.946708331,0.596,237.087
A,30.572,237.087,1,0.596,237.087
A,31.196,232.453,0.980405174,0.596,237.087
A,31.82,230.273,0.971187064,0.596,237.087
A,32.444,236.037,0.995560085,0.596,237.087
A,33.068,235.416,0.992934192,0.596,237.087
A,33.692,227.702,0.960315615,0.596,237.087
A,34.316,221.106,0.93242449,0.596,237.087
A,34.94,216.752,0.914013641,0.596,237.087
A,35.564,216,0.910833816,0.596,237.087
A,36.188,214.161,0.903057622,0.596,237.087
A,36.812,203.447,0.857753572,0.596,237.087
A,37.436,205.54,0.866603803,0.596,237.087
A,38.059,195.975,0.826158289,0.596,237.087
A,38.683,178.087,0.750519047,0.596,237.087
A,39.307,160.764,0.677268902,0.596,237.087
A,39.931,150.311,0.633068489,0.596,237.087
A,40.555,145.988,0.614788723,0.596,237.087
A,41.179,136.025,0.57266027,0.596,237.087
A,41.803,133.528,0.562101729,0.596,237.087
A,42.427,130.975,0.551306392,0.596,237.087
A,43.051,117.957,0.4962599,0.596,237.087
A,43.675,100.795,0.423690542,0.596,237.087
A,44.299,82.404,0.345924369,0.596,237.087
A,44.923,71.578,0.300146729,0.596,237.087
A,45.547,65.329,0.27372289,0.596,237.087
A,46.171,62.199,0.260487714,0.596,237.087
A,46.794,52,0.217361337,0.596,237.087
A,47.418,38.938,0.162128791,0.596,237.087
A,48.042,31.075,0.128880169,0.596,237.087
