mouse,distance_microns,grey_value,grey_value_normalised,,
A,0,0.2857,0.008020398,0.1366,18.7267
A,0.624,0.2236,0.00467991,0.1366,18.7267
A,1.248,0.441,0.016374307,0.1366,18.7267
A,1.872,0.4783,0.018380751,0.1366,18.7267
A,2.496,0.5342,0.021387728,0.1366,18.7267
A,3.12,0.7019,0.030408658,0.1366,18.7267
A,3.744,0.9317,0.042770077,0.1366,18.7267
A,4.367,1.3975,0.067826424,0.1366,18.7267
A,4.991,1.9317,0.096562149,0.1366,18.7267
A,5.615,2.0248,0.101570191,0.1366,18.7267
A,6.239,2.8385,0.1453408,0.1366,18.7267
A,6.863,3.4845,0.180090478,0.1366,18.7267
A,7.487,5.1988,0.272306228,0.1366,18.7267
A,8.111,9.1366,0.484128649,0.1366,18.7267
A,8.735,12.6832,0.674907612,0.1366,18.7267
A,9.359,11.6211,0.617775052,0.1366,18.7267
A,9.983,5.4907,0.288008133,0.1366,18.7267
A,10.607,3.9317,0.204146293,0.1366,18.7267
A,11.231,4.5776,0.238890592,0.1366,18.7267
A,11.855,5.0435,0.263952319,0.1366,18.7267
A,12.479,5.0621,0.264952851,0.1366,18.7267
A,13.102,6.0683,0.319078434,0.1366,18.7267
A,13.726,6.5093,0.342800738,0.1366,18.7267
A,14.35,8.1677,0.43200951,0.1366,18.7267
A,14.974,10.2236,0.542600632,0.1366,18.7267
A,15.598,9.2857,0.492149047,0.1366,18.7267
A,16.222,7.9503,0.420315114,0.1366,18.7267
A,16.846,7.9503,0.420315114,0.1366,18.7267
A,17.47,10.9317,0.580690798,0.1366,18.7267
A,18.094,13.0124,0.692615962,0.1366,18.7267
A,18.718,12.677,0.674574101,0.1366,18.7267
A,19.342,8.6335,0.457065858,0.1366,18.7267
A,19.966,6.5652,0.345807715,0.1366,18.7267
A,20.59,6.7205,0.354161624,0.1366,18.7267
A,21.213,6.882,0.362849043,0.1366,18.7267
A,21.837,7.2857,0.384564903,0.1366,18.7267
A,22.461,5.7578,0.302375996,0.1366,18.7267
A,23.085,6.528,0.34380665,0.1366,18.7267
A,23.709,8.3851,0.443703907,0.1366,18.7267
A,24.333,8.5031,0.450051371,0.1366,18.7267
A,24.957,8.2919,0.438690486,0.1366,18.7267
A,25.581,9.4658,0.501836999,0.1366,18.7267
A,26.205,9.9317,0.526898726,0.1366,18.7267
A,26.829,12.6087,0.670900103,0.1366,18.7267
A,27.453,15.472,0.824922943,0.1366,18.7267
A,28.077,16.5031,0.880387948,0.1366,18.7267
A,28.701,15.5714,0.830269875,0.1366,18.7267
A,29.325,16.0807,0.857666177,0.1366,18.7267
A,29.948,14.3354,0.763782874,0.1366,18.7267
A,30.572,14.1429,0.7534279,0.1366,18.7267
A,31.196,17.3292,0.924825579,0.1366,18.7267
A,31.82,18.7267,1,0.1366,18.7267
A,32.444,18.5404,0.989978537,0.1366,18.7267
A,33.068,15.9068,0.848311736,0.1366,18.7267
A,33.692,12.3913,0.659205706,0.1366,18.7267
A,34.316,12.9006,0.686602009,0.1366,18.7267
A,34.94,14.3478,0.764449895,0.1366,18.7267
A,35.564,14.646,0.780490691,0.1366,18.7267
A,36.188,13.323,0.70932378,0.1366,18.7267
A,36.812,12.3043,0.654525796,0.1366,18.7267
A,37.436,13.2174,0.703643337,0.1366,18.7267
A,38.059,11.5031,0.611427588,0.1366,18.7267
A,38.683,10.8261,0.575010355,0.1366,18.7267
A,39.307,10.8944,0.578684353,0.1366,18.7267
A,39.931,10.9689,0.582691863,0.1366,18.7267
A,40.555,9.9255,0.526565215,0.1366,18.7267
A,41.179,8.5342,0.451724305,0.1366,18.7267
A,41.803,8.1988,0.433682444,0.1366,18.7267
A,42.427,10.4037,0.552288584,0.1366,18.7267
A,43.051,12.7019,0.675913524,0.1366,18.7267
A,43.675,9.4286,0.499835934,0.1366,18.7267
A,44.299,7.4596,0.393919344,0.1366,18.7267
A,44.923,6.9317,0.365522509,0.1366,18.7267
A,45.547,4.9379,0.258271876,0.1366,18.7267
A,46.171,4.6894,0.244904546,0.1366,18.7267
A,46.794,6.3292,0.333112786,0.1366,18.7267
A,47.418,8.0311,0.424661513,0.1366,18.7267
A,48.042,7.2236,0.381224415,0.1366,18.7267
A,48.666,5.0062,0.261945874,0.1366,18.7267
A,49.29,4.5031,0.234883083,0.1366,18.7267
A,49.914,4.1615,0.216507711,0.1366,18.7267
A,50.538,4.1491,0.215840689,0.1366,18.7267
A,51.162,3.8571,0.200133404,0.1366,18.7267
A,51.786,2.9193,0.149687199,0.1366,18.7267
A,52.41,2.354,0.119278541,0.1366,18.7267
A,53.034,1.8696,0.093221661,0.1366,18.7267
A,53.658,1.5839,0.077853266,0.1366,18.7267
A,54.282,1.7826,0.088541751,0.1366,18.7267
A,54.905,2.6149,0.133312892,0.1366,18.7267
A,55.529,3.472,0.179418077,0.1366,18.7267
A,56.153,2.7205,0.138993335,0.1366,18.7267
A,56.777,1.7329,0.085868285,0.1366,18.7267
A,57.401,1.3043,0.062813003,0.1366,18.7267
A,58.025,1.5528,0.076180333,0.1366,18.7267
A,58.649,2.0124,0.100903169,0.1366,18.7267
A,59.273,1.646,0.081193754,0.1366,18.7267
A,59.897,1.4534,0.070833401,0.1366,18.7267
A,60.521,1.2795,0.061478959,0.1366,18.7267
A,61.145,0.9752,0.045110032,0.1366,18.7267
A,61.769,0.9255,0.042436566,0.1366,18.7267
A,62.393,0.9503,0.043770609,0.1366,18.7267
A,63.017,1.0186,0.047444608,0.1366,18.7267
A,63.64,1.4348,0.069832868,0.1366,18.7267
A,64.264,1.2671,0.060811938,0.1366,18.7267
A,64.888,0.9379,0.043103587,0.1366,18.7267
A,65.512,0.8509,0.038423677,0.1366,18.7267
A,66.136,0.6335,0.026729281,0.1366,18.7267
A,66.76,0.7888,0.035083189,0.1366,18.7267
A,67.384,1.0248,0.047778118,0.1366,18.7267
A,68.008,0.9689,0.044771142,0.1366,18.7267
A,68.632,0.9689,0.044771142,0.1366,18.7267
A,69.256,0.8758,0.0397631,0.1366,18.7267
A,69.88,0.6832,0.029402747,0.1366,18.7267
A,70.504,0.6894,0.029736257,0.1366,18.7267
A,71.128,0.7764,0.034416168,0.1366,18.7267
A,71.751,1.1242,0.05312505,0.1366,18.7267
A,72.375,1.6025,0.078853799,0.1366,18.7267
A,72.999,1.2174,0.058138472,0.1366,18.7267
A,73.623,0.9193,0.042103055,0.1366,18.7267
A,74.247,0.8012,0.035750211,0.1366,18.7267
A,74.871,0.7391,0.032409723,0.1366,18.7267
A,75.495,0.6335,0.026729281,0.1366,18.7267
A,76.119,0.8447,0.038090166,0.1366,18.7267
A,76.743,0.9876,0.045777053,0.1366,18.7267
A,77.367,0.6832,0.029402747,0.1366,18.7267
A,77.991,0.7578,0.033415635,0.1366,18.7267
A,78.615,0.6335,0.026729281,0.1366,18.7267
A,79.239,0.6894,0.029736257,0.1366,18.7267
A,79.863,0.8944,0.040763632,0.1366,18.7267
A,80.486,0.764,0.033749146,0.1366,18.7267
A,81.11,0.6398,0.027068171,0.1366,18.7267
A,81.734,0.5776,0.023722304,0.1366,18.7267
A,82.358,0.6832,0.029402747,0.1366,18.7267
A,82.982,0.6832,0.029402747,0.1366,18.7267
A,83.606,1.0932,0.051457496,0.1366,18.7267
A,84.23,0.913,0.041764165,0.1366,18.7267
A,84.854,0.6646,0.028402214,0.1366,18.7267
A,85.478,0.5714,0.023388793,0.1366,18.7267
A,86.102,0.6584,0.028068703,0.1366,18.7267
A,86.726,0.7702,0.034082657,0.1366,18.7267
A,87.35,0.6273,0.02639577,0.1366,18.7267
A,87.974,0.6398,0.027068171,0.1366,18.7267
A,88.597,0.6522,0.027735192,0.1366,18.7267
A,89.221,0.6894,0.029736257,0.1366,18.7267
A,89.845,0.6522,0.027735192,0.1366,18.7267
A,90.469,0.5404,0.021721239,0.1366,18.7267
A,91.093,0.4907,0.019047773,0.1366,18.7267
A,91.717,0.5093,0.020048305,0.1366,18.7267
A,92.341,0.5093,0.020048305,0.1366,18.7267
A,92.965,0.5901,0.024394705,0.1366,18.7267
A,93.589,0.6025,0.025061726,0.1366,18.7267
A,94.213,0.7391,0.032409723,0.1366,18.7267
A,94.837,0.646,0.027401682,0.1366,18.7267
A,95.461,0.6087,0.025395237,0.1366,18.7267
A,96.085,0.5963,0.024728216,0.1366,18.7267
A,96.708,0.6273,0.02639577,0.1366,18.7267
A,97.332,0.6522,0.027735192,0.1366,18.7267
A,97.956,0.7143,0.03107568,0.1366,18.7267
A,98.58,0.7516,0.033082124,0.1366,18.7267
A,99.204,0.6832,0.029402747,0.1366,18.7267
A,99.828,0.6087,0.025395237,0.1366,18.7267
A,100.452,0.4472,0.016707818,0.1366,18.7267
A,101.076,0.5217,0.020715327,0.1366,18.7267
A,101.7,0.5528,0.02238826,0.1366,18.7267
A,102.324,0.5652,0.023055282,0.1366,18.7267
A,102.948,0.5093,0.020048305,0.1366,18.7267
A,103.572,0.6708,0.028735725,0.1366,18.7267
A,104.196,0.7143,0.03107568,0.1366,18.7267
A,104.82,0.6957,0.030075148,0.1366,18.7267
A,105.443,0.6149,0.025728748,0.1366,18.7267
A,106.067,0.5901,0.024394705,0.1366,18.7267
A,106.691,0.6957,0.030075148,0.1366,18.7267
A,107.315,0.7391,0.032409723,0.1366,18.7267
A,107.939,0.5528,0.02238826,0.1366,18.7267
A,108.563,0.4907,0.019047773,0.1366,18.7267
A,109.187,0.5839,0.024061194,0.1366,18.7267
A,109.811,0.559,0.022721771,0.1366,18.7267
A,110.435,0.5839,0.024061194,0.1366,18.7267
A,111.059,0.5217,0.020715327,0.1366,18.7267
A,111.683,0.5652,0.023055282,0.1366,18.7267
A,112.307,0.5155,0.020381816,0.1366,18.7267
A,112.931,0.5342,0.021387728,0.1366,18.7267
A,113.554,0.6087,0.025395237,0.1366,18.7267
A,114.178,0.5963,0.024728216,0.1366,18.7267
A,114.802,0.5217,0.020715327,0.1366,18.7267
A,115.426,0.5342,0.021387728,0.1366,18.7267
A,116.05,0.5714,0.023388793,0.1366,18.7267
A,116.674,0.6708,0.028735725,0.1366,18.7267
A,117.298,0.5031,0.019714794,0.1366,18.7267
A,117.922,0.4472,0.016707818,0.1366,18.7267
A,118.546,0.4224,0.015373774,0.1366,18.7267
A,119.17,0.441,0.016374307,0.1366,18.7267
A,119.794,0.4845,0.018714262,0.1366,18.7267
A,120.418,0.472,0.018041861,0.1366,18.7267
A,121.042,0.5839,0.024061194,0.1366,18.7267
A,121.666,0.5466,0.02205475,0.1366,18.7267
A,122.289,0.5776,0.023722304,0.1366,18.7267
A,122.913,0.5776,0.023722304,0.1366,18.7267
A,123.537,0.441,0.016374307,0.1366,18.7267
A,124.161,0.4348,0.016040796,0.1366,18.7267
A,124.785,0.4472,0.016707818,0.1366,18.7267
A,125.409,0.4286,0.015707285,0.1366,18.7267
A,126.033,0.4783,0.018380751,0.1366,18.7267
A,126.657,0.5093,0.020048305,0.1366,18.7267
A,127.281,0.6211,0.026062259,0.1366,18.7267
A,127.905,0.559,0.022721771,0.1366,18.7267
A,128.529,0.3975,0.014034352,0.1366,18.7267
A,129.153,0.4099,0.014701373,0.1366,18.7267
A,129.777,0.472,0.018041861,0.1366,18.7267
A,130.4,0.4472,0.016707818,0.1366,18.7267
A,131.024,0.4161,0.015034884,0.1366,18.7267
A,131.648,0.4161,0.015034884,0.1366,18.7267
A,132.272,0.4534,0.017041328,0.1366,18.7267
A,132.896,0.5155,0.020381816,0.1366,18.7267
A,133.52,0.4224,0.015373774,0.1366,18.7267
A,134.144,0.3168,0.009693331,0.1366,18.7267
A,134.768,0.4161,0.015034884,0.1366,18.7267
A,135.392,0.4348,0.016040796,0.1366,18.7267
A,136.016,0.559,0.022721771,0.1366,18.7267
A,136.64,0.441,0.016374307,0.1366,18.7267
A,137.264,0.2733,0.007353376,0.1366,18.7267
A,137.888,0.3851,0.01336733,0.1366,18.7267
A,138.512,0.3478,0.011360886,0.1366,18.7267
A,139.135,0.4658,0.01770835,0.1366,18.7267
A,139.759,0.5404,0.021721239,0.1366,18.7267
A,140.383,0.5839,0.024061194,0.1366,18.7267
A,141.007,0.5217,0.020715327,0.1366,18.7267
A,141.631,0.3727,0.012700308,0.1366,18.7267
A,142.255,0.5217,0.020715327,0.1366,18.7267
A,142.879,0.5963,0.024728216,0.1366,18.7267
A,143.503,0.6273,0.02639577,0.1366,18.7267
A,144.127,0.5776,0.023722304,0.1366,18.7267
A,144.751,0.5963,0.024728216,0.1366,18.7267
A,145.375,0.441,0.016374307,0.1366,18.7267
A,145.999,0.4472,0.016707818,0.1366,18.7267
A,146.623,0.4224,0.015373774,0.1366,18.7267
A,147.246,0.6708,0.028735725,0.1366,18.7267
A,147.87,0.6832,0.029402747,0.1366,18.7267
A,148.494,0.5839,0.024061194,0.1366,18.7267
A,149.118,0.5839,0.024061194,0.1366,18.7267
A,149.742,0.6335,0.026729281,0.1366,18.7267
A,150.366,0.5652,0.023055282,0.1366,18.7267
A,150.99,0.6584,0.028068703,0.1366,18.7267
A,151.614,0.559,0.022721771,0.1366,18.7267
A,152.238,0.4596,0.017374839,0.1366,18.7267
A,152.862,0.5466,0.02205475,0.1366,18.7267
A,153.486,0.6025,0.025061726,0.1366,18.7267
A,154.11,0.5901,0.024394705,0.1366,18.7267
A,154.734,0.4286,0.015707285,0.1366,18.7267
A,155.358,0.528,0.021054217,0.1366,18.7267
A,155.981,0.559,0.022721771,0.1366,18.7267
A,156.605,0.6025,0.025061726,0.1366,18.7267
A,157.229,0.3789,0.013033819,0.1366,18.7267
A,157.853,0.5093,0.020048305,0.1366,18.7267
A,158.477,0.4969,0.019381284,0.1366,18.7267
A,159.101,0.5963,0.024728216,0.1366,18.7267
A,159.725,0.5901,0.024394705,0.1366,18.7267
A,160.349,0.6832,0.029402747,0.1366,18.7267
A,160.973,0.4658,0.01770835,0.1366,18.7267
A,161.597,0.5093,0.020048305,0.1366,18.7267
A,162.221,0.4845,0.018714262,0.1366,18.7267
A,162.845,0.4534,0.017041328,0.1366,18.7267
A,163.469,0.4907,0.019047773,0.1366,18.7267
A,164.092,0.5776,0.023722304,0.1366,18.7267
A,164.716,0.5528,0.02238826,0.1366,18.7267
A,165.34,0.6894,0.029736257,0.1366,18.7267
A,165.964,0.5963,0.024728216,0.1366,18.7267
A,166.588,0.6087,0.025395237,0.1366,18.7267
A,167.212,0.5839,0.024061194,0.1366,18.7267
A,167.836,0.3975,0.014034352,0.1366,18.7267
A,168.46,0.4907,0.019047773,0.1366,18.7267
A,169.084,0.4658,0.01770835,0.1366,18.7267
A,169.708,0.5404,0.021721239,0.1366,18.7267
A,170.332,0.4534,0.017041328,0.1366,18.7267
A,170.956,0.4472,0.016707818,0.1366,18.7267
A,171.58,0.6025,0.025061726,0.1366,18.7267
A,172.204,0.6025,0.025061726,0.1366,18.7267
A,172.827,0.5031,0.019714794,0.1366,18.7267
A,173.451,0.4472,0.016707818,0.1366,18.7267
A,174.075,0.4472,0.016707818,0.1366,18.7267
A,174.699,0.441,0.016374307,0.1366,18.7267
A,175.323,0.4286,0.015707285,0.1366,18.7267
A,175.947,0.5093,0.020048305,0.1366,18.7267
A,176.571,0.4161,0.015034884,0.1366,18.7267
A,177.195,0.441,0.016374307,0.1366,18.7267
A,177.819,0.5404,0.021721239,0.1366,18.7267
A,178.443,0.5963,0.024728216,0.1366,18.7267
A,179.067,0.5839,0.024061194,0.1366,18.7267
A,179.691,0.5839,0.024061194,0.1366,18.7267
A,180.315,0.6087,0.025395237,0.1366,18.7267
A,180.938,0.559,0.022721771,0.1366,18.7267
A,181.562,0.5839,0.024061194,0.1366,18.7267
A,182.186,0.7516,0.033082124,0.1366,18.7267
A,182.81,0.6894,0.029736257,0.1366,18.7267
A,183.434,0.5776,0.023722304,0.1366,18.7267
A,184.058,0.5652,0.023055282,0.1366,18.7267
A,184.682,0.5776,0.023722304,0.1366,18.7267
A,185.306,0.5031,0.019714794,0.1366,18.7267
A,185.93,0.4224,0.015373774,0.1366,18.7267
A,186.554,0.4907,0.019047773,0.1366,18.7267
A,187.178,0.559,0.022721771,0.1366,18.7267
A,187.802,0.4783,0.018380751,0.1366,18.7267
A,188.426,0.5155,0.020381816,0.1366,18.7267
A,189.05,0.5031,0.019714794,0.1366,18.7267
A,189.673,0.4224,0.015373774,0.1366,18.7267
A,190.297,0.4286,0.015707285,0.1366,18.7267
A,190.921,0.4037,0.014367862,0.1366,18.7267
A,191.545,0.472,0.018041861,0.1366,18.7267
A,192.169,0.441,0.016374307,0.1366,18.7267
A,192.793,0.3478,0.011360886,0.1366,18.7267
A,193.417,0.4286,0.015707285,0.1366,18.7267
A,194.041,0.4534,0.017041328,0.1366,18.7267
A,194.665,0.4286,0.015707285,0.1366,18.7267
A,195.289,0.4845,0.018714262,0.1366,18.7267
A,195.913,0.4286,0.015707285,0.1366,18.7267
A,196.537,0.354,0.011694396,0.1366,18.7267
A,197.161,0.2857,0.008020398,0.1366,18.7267
A,197.784,0.3789,0.013033819,0.1366,18.7267
A,198.408,0.354,0.011694396,0.1366,18.7267
