mouse,average,distance,experiment
A,0.434342595,first,retro_mec
A,0.341360723,second,retro_mec
A,0.34434117,third,retro_mec
A,0.488538339,fourth,retro_mec
A,0.572192304,fifth,retro_mec
A,0.464025545,sixth,retro_mec
A,0.281897877,seventh,retro_mec
A,0.246723155,eighth,retro_mec
B,0.317152492,first,retro_mec
B,0.48092331,second,retro_mec
B,0.179647575,third,retro_mec
B,0.165609803,fourth,retro_mec
B,0.164775464,fifth,retro_mec
B,0.166737403,sixth,retro_mec
B,0.141835035,seventh,retro_mec
B,0.132507285,eighth,retro_mec
C,0.499791163,first,retro_mec
C,0.55882157,second,retro_mec
C,0.508075135,third,retro_mec
C,0.512998889,fourth,retro_mec
C,0.577129112,fifth,retro_mec
C,0.575698743,sixth,retro_mec
C,0.567485253,seventh,retro_mec
C,0.586032249,eighth,retro_mec
