mouse ,average,distance
A,0.497172361,first
A,0.522922864,second
A,0.468248512,third
A,0.457343359,fourth
A,0.429229291,fifth
A,0.405097898,sixth
A,0.349773027,seventh
A,0.270284434,eighth
B,0.400422728,first
B,0.32660144,second
B,0.179961253,third
B,0.11338629,fourth
B,0.125659884,fifth
B,0.133374898,sixth
B,0.141721816,seventh
B,0.157861132,eighth
C,0.372776811,first
C,0.339764974,second
C,0.193771048,third
C,0.203405309,fourth
C,0.195018257,fifth
C,0.17478762,sixth
C,0.20045513,seventh
C,0.274060742,eighth
D,0.452973522,first
D,0.254022977,second
D,0.223933083,third
D,0.195098197,fourth
D,0.194121581,fifth
D,0.182259141,sixth
D,0.155790473,seventh
D,0.198871968,eighth
