mouse ,average,distance
A,0.450724314,first
A,0.051279256,second
A,0.020537254,third
A,0.019886512,fourth
A,0.009135819,fifth
A,0.016047341,sixth
A,0.021009975,seventh
A,0.026872613,eighth
B,0.691117673,first
B,0.414616321,second
B,0.18019787,third
B,0.173251439,fourth
B,0.174969702,fifth
B,0.151658498,sixth
B,0.118469467,seventh
B,0.120514365,eighth
C,0.406254098,first
C,0.353549556,second
C,0.185460492,third
C,0.178827066,fourth
C,0.150946313,fifth
C,0.06905727,sixth
C,0.06067312,seventh
C,0.086628659,eighth
D,0.579925732,first
D,0.100619344,second
D,0.03414484,third
D,0.019483268,fourth
D,0.014007325,fifth
D,0.018645292,sixth
D,0.019622703,seventh
D,0.02057302,eighth
