mouse,distance_microns,grey_value,grey_value_normalised,,
A,0,12.323,0.084508121,9.4534,43.4099
A,0.624,12.1056,0.078105812,9.4534,43.4099
A,1.248,12.0435,0.076277001,9.4534,43.4099
A,1.872,11.7453,0.067495178,9.4534,43.4099
A,2.496,11.6211,0.063837557,9.4534,43.4099
A,3.12,11.6087,0.063472384,9.4534,43.4099
A,3.744,11.5901,0.062924624,9.4534,43.4099
A,4.367,11.2981,0.054325387,9.4534,43.4099
A,4.991,10.8075,0.03987749,9.4534,43.4099
A,5.615,10.1491,0.020487977,9.4534,43.4099
A,6.239,9.9068,0.013352377,9.4534,43.4099
A,6.863,10.0435,0.017378116,9.4534,43.4099
A,7.487,10.7702,0.038779026,9.4534,43.4099
A,8.111,11.882,0.071520916,9.4534,43.4099
A,8.735,13.1366,0.108468187,9.4534,43.4099
A,9.359,15.0248,0.164074625,9.4534,43.4099
A,9.983,17.1615,0.226999249,9.4534,43.4099
A,10.607,18.8634,0.277119256,9.4534,43.4099
A,11.231,19.8447,0.306017994,9.4534,43.4099
A,11.855,20.7391,0.332357575,9.4534,43.4099
A,12.479,22.3913,0.381013944,9.4534,43.4099
A,13.102,24.7143,0.449425,9.4534,43.4099
A,13.726,26.882,0.513262557,9.4534,43.4099
A,14.35,28.2857,0.554600739,9.4534,43.4099
A,14.974,28.7081,0.567040184,9.4534,43.4099
A,15.598,29.7019,0.59630704,9.4534,43.4099
A,16.222,31.6087,0.652461237,9.4534,43.4099
A,16.846,33.1429,0.697642572,9.4534,43.4099
A,17.47,34.0186,0.723431449,9.4534,43.4099
A,18.094,34.3913,0.734407256,9.4534,43.4099
A,18.718,34.205,0.728920825,9.4534,43.4099
A,19.342,33.7516,0.715568448,9.4534,43.4099
A,19.966,33.5776,0.710444245,9.4534,43.4099
A,20.59,34.4783,0.736969358,9.4534,43.4099
A,21.213,35.4596,0.765868096,9.4534,43.4099
A,21.837,34.3727,0.733859497,9.4534,43.4099
A,22.461,32.2671,0.67185075,9.4534,43.4099
A,23.085,32.0248,0.66471515,9.4534,43.4099
A,23.709,32.7516,0.686119005,9.4534,43.4099
A,24.333,33.2981,0.702213126,9.4534,43.4099
A,24.957,33.3168,0.70276383,9.4534,43.4099
A,25.581,32.0807,0.666361374,9.4534,43.4099
A,26.205,30.8944,0.6314255,9.4534,43.4099
A,26.829,31.5155,0.649716549,9.4534,43.4099
A,27.453,33.1988,0.699288796,9.4534,43.4099
A,28.077,33.9006,0.719956415,9.4534,43.4099
A,28.701,34.5093,0.737882291,9.4534,43.4099
A,29.325,36.5217,0.797146349,9.4534,43.4099
A,29.948,38.7516,0.862815661,9.4534,43.4099
A,30.572,39.6894,0.890433349,9.4534,43.4099
A,31.196,40.0932,0.902325033,9.4534,43.4099
A,31.82,40.9006,0.926102514,9.4534,43.4099
A,32.444,40.6335,0.918236567,9.4534,43.4099
A,33.068,39.4658,0.883848453,9.4534,43.4099
A,33.692,39.3292,0.879825659,9.4534,43.4099
A,34.316,39.9193,0.897203775,9.4534,43.4099
A,34.94,41.2547,0.936530561,9.4534,43.4099
A,35.564,43.2174,0.994330982,9.4534,43.4099
A,36.188,43.4099,1,9.4534,43.4099
A,36.812,41.1925,0.934698806,9.4534,43.4099
A,37.436,38.1988,0.846536009,9.4534,43.4099
A,38.059,35.4969,0.76696656,9.4534,43.4099
A,38.683,33.5466,0.709531312,9.4534,43.4099
A,39.307,31.8944,0.660874943,9.4534,43.4099
A,39.931,30.7267,0.626486829,9.4534,43.4099
A,40.555,30.3478,0.615328435,9.4534,43.4099
A,41.179,31.0932,0.637280049,9.4534,43.4099
A,41.803,32.3913,0.675508371,9.4534,43.4099
A,42.427,32.8323,0.688495575,9.4534,43.4099
A,43.051,31.5714,0.651362773,9.4534,43.4099
A,43.675,29.4907,0.590087318,9.4534,43.4099
A,44.299,27.323,0.526249761,9.4534,43.4099
A,44.923,25.0807,0.460215275,9.4534,43.4099
