mouse,distance_microns,grey_value,grey_value_normalised,,
A,0,6.0186,0.004444546,5.8634,40.7826
A,0.624,6.205,0.009782584,5.8634,40.7826
A,1.248,6.1242,0.007468671,5.8634,40.7826
A,1.872,5.8634,0,5.8634,40.7826
A,2.496,6.0497,0.005335174,5.8634,40.7826
A,3.12,6.9193,0.030238379,5.8634,40.7826
A,3.744,7.5093,0.047134528,5.8634,40.7826
A,4.367,7.3913,0.043755298,5.8634,40.7826
A,4.991,6.8137,0.027214255,5.8634,40.7826
A,5.615,6.3354,0.013516919,5.8634,40.7826
A,6.239,6.2919,0.012271186,5.8634,40.7826
A,6.863,7.6335,0.05069131,5.8634,40.7826
A,7.487,8.441,0.073816124,5.8634,40.7826
A,8.111,8.7826,0.083598708,5.8634,40.7826
A,8.735,9.1677,0.094627025,5.8634,40.7826
A,9.359,8.8758,0.086267727,5.8634,40.7826
A,9.983,9.2484,0.096938074,5.8634,40.7826
A,10.607,9.323,0.099074435,5.8634,40.7826
A,11.231,9.3665,0.100320168,5.8634,40.7826
A,11.855,8.9876,0.089469404,5.8634,40.7826
A,12.479,9.2671,0.097473596,5.8634,40.7826
A,13.102,10.2174,0.124687851,5.8634,40.7826
A,13.726,10.4658,0.131801416,5.8634,40.7826
A,14.35,10.9689,0.146208962,5.8634,40.7826
A,14.974,11.7888,0.169688882,5.8634,40.7826
A,15.598,15.1242,0.265206534,5.8634,40.7826
A,16.222,16.1429,0.294379596,5.8634,40.7826
A,16.846,13.6957,0.224297808,5.8634,40.7826
A,17.47,13.1304,0.208109006,5.8634,40.7826
A,18.094,14.1801,0.238169832,5.8634,40.7826
A,18.718,14.8758,0.258092969,5.8634,40.7826
A,19.342,14.4161,0.244928292,5.8634,40.7826
A,19.966,13.0807,0.20668572,5.8634,40.7826
A,20.59,12.795,0.198503975,5.8634,40.7826
A,21.213,13.7391,0.225540677,5.8634,40.7826
A,21.837,16.087,0.292778758,5.8634,40.7826
A,22.461,17.7267,0.339735733,5.8634,40.7826
A,23.085,18.5839,0.364283832,5.8634,40.7826
A,23.709,19.0807,0.378510962,5.8634,40.7826
A,24.333,18.7764,0.369796559,5.8634,40.7826
A,24.957,17.8199,0.342404752,5.8634,40.7826
A,25.581,20.4783,0.418534789,5.8634,40.7826
A,26.205,21.8882,0.458910857,5.8634,40.7826
A,26.829,23.1615,0.495375037,5.8634,40.7826
A,27.453,24.677,0.53877523,5.8634,40.7826
A,28.077,23.2795,0.498754267,5.8634,40.7826
A,28.701,22.5466,0.477765814,5.8634,40.7826
A,29.325,26.0683,0.57861864,5.8634,40.7826
A,29.948,28.3354,0.643542807,5.8634,40.7826
