cell,animal,layer,type,pharma,drug,pulse,epsp,ipsp,epsp_halfwidth
1309_S1C2,1309,l2,l2_sc,gaba_cgpgz,baseline,1,1.09765,-0.691036,NA
1309_S1C2,1309,l2,l2_sc,gaba_cgpgz,baseline,2,0.844502,-0.939724,NA
1309_S1C2,1309,l2,l2_sc,gaba_cgpgz,baseline,3,0.956948,-0.699302,NA
1309_S1C2,1309,l2,l2_sc,gaba_cgpgz,baseline,4,0.905401,-0.57823,NA
1309_S1C2,1309,l2,l2_sc,gaba_cgpgz,baseline,5,0.455952,-0.619941,NA
1309_S1C2,1309,l2,l2_sc,gaba_cgpgz,baseline,6,0.805872,-0.459009,NA
1309_S1C2,1309,l2,l2_sc,gaba_cgpgz,baseline,7,0.889584,-0.198214,NA
1309_S1C2,1309,l2,l2_sc,gaba_cgpgz,baseline,8,0.870902,-0.532372,NA
1309_S1C2,1309,l2,l2_sc,gaba_cgpgz,baseline,9,0.938375,-0.435136,NA
1309_S1C2,1309,l2,l2_sc,gaba_cgpgz,baseline,10,0.80565,-0.185421,NA
1309_S1C2,1309,l2,l2_sc,gaba_cgpgz,baseline,11,0.91108,-0.352312,NA
1309_S1C2,1309,l2,l2_sc,gaba_cgpgz,baseline,12,0.729365,-0.428373,NA
1309_S1C2,1309,l2,l2_sc,gaba_cgpgz,baseline,13,0.838573,-0.101903,NA
1309_S1C2,1309,l2,l2_sc,gaba_cgpgz,baseline,14,0.770482,-0.277137,NA
1309_S1C2,1309,l2,l2_sc,gaba_cgpgz,baseline,15,0.622228,-0.184319,NA
1309_S1C2,1309,l2,l2_sc,gaba_cgpgz,baseline,16,0.999336,-0.0586998,NA
1309_S1C2,1309,l2,l2_sc,gaba_cgpgz,baseline,17,0.328097,-0.386189,NA
1309_S1C2,1309,l2,l2_sc,gaba_cgpgz,baseline,18,1.12085,0.0806751,NA
1309_S1C2,1309,l2,l2_sc,gaba_cgpgz,baseline,19,0.128429,-0.365618,NA
1309_S1C2,1309,l2,l2_sc,gaba_cgpgz,baseline,20,0.816365,-0.211909,NA
1309_S1C2,1309,l2,l2_sc,gaba_cgpgz,baseline,21,0.733339,0.148517,NA
