cell,type,frequency,epsp,ipsp,ipsp_abs,ei,pulse,baseline
1082_S1C3,l2_pc,10hz,2.652,0,0,0.854185455,single,67.64
1082_S1C3,l2_pc,10hz,0.887,-0.27664254,0.27664254,0.762261579,pulse1,67.64
1082_S1C3,l2_pc,10hz,1.0189806,-0.26789,0.26789,0.791828331,pulse10,67.64
1091_S1C1,l2_pc,10hz,1.70688778,-0.18611781,0.18611781,0.751078117,single,-67.68569
1091_S1C1,l2_pc,10hz,1.879439,-0.3830635,0.3830635,0.830690353,pulse1,-67.68569
1091_S1C1,l2_pc,10hz,1.857564,-0.5486881,0.5486881,0.771973976,pulse10,-67.68569
1091_S2C2,l2_pc,10hz,8.877999,0,0,0.958578841,single,-68.9642
1091_S2C2,l2_pc,10hz,8.782513,-0.13935782,0.13936,0.984379961,pulse1,-68.9642
1091_S2C2,l2_pc,10hz,9.985649,-0.12060824,0.12061,0.988065811,pulse10,-68.9642
950_S2C1_J,l2_pc,10hz,1.007,0,0,0.69106604,single,-71.433825
950_S2C1_J,l2_pc,10hz,0.67991475,-0.3464903,0.3464903,0.662423426,pulse1,-71.433825
950_S2C1_J,l2_pc,10hz,1.1508522,-0.37695905,0.37695905,0.753268573,pulse10,-71.433825
956_S2C4_J,l2_pc,10hz,0.869793928,0,0,0.681342104,single,-67.845995
956_S2C4_J,l2_pc,10hz,1.5132088,-0.298667865,0.298667865,0.83516104,pulse1,-67.845995
956_S2C4_J,l2_pc,10hz,3.0647695,-0.457105965,0.457105965,0.870209504,pulse10,-67.845995
1242_S2C2,l2_pc,10hz,0.335660352,0,0,0.61358702,single,-79.87558
1242_S2C2,l2_pc,10hz,0.35027046,-0.37660519,0.37660519,0.481884983,pulse1,-79.87558
1242_S2C2,l2_pc,10hz,0.210581,-0.49628993,0.49628993,0.297905871,pulse10,-79.87558
921_S2C2_J,l2_sc,10hz,0.300307469,0,0,0.479818352,single,-62.25481667
921_S2C2_J,l2_sc,10hz,0.528251997,-0.8596634,0.8596634,0.380608211,pulse1,-62.25481667
921_S2C2_J,l2_sc,10hz,0.484293883,-2.166122133,2.166122133,0.182723723,pulse10,-62.25481667
943_S1C1_J,l2_sc,10hz,0,-0.337623637,0.337623637,0.340610245,single,-70.18446333
943_S1C1_J,l2_sc,10hz,0.36685726,-0.575017367,0.575017367,0.389496914,pulse1,-70.18446333
943_S1C1_J,l2_sc,10hz,0,-1.2163724,1.2163724,0,pulse10,-70.18446333
949_S3C1_J,l2_sc,10hz,0.165230647,NA,NA,0.508065217,single,-68.629725
949_S3C1_J,l2_sc,10hz,0.78862605,-0.38121755,0.38121755,0.674129473,pulse1,-68.629725
949_S3C1_J,l2_sc,10hz,0.50721968,-0.554813,0.554813,0.477593288,pulse10,-68.629725
950_S1C1_J,l2_sc,10hz,0.361966932,-0.134528617,0.134528617,0.551492157,single,-71.463845
950_S1C1_J,l2_sc,10hz,0.62150225,-0.4183421,0.4183421,0.597687769,pulse1,-71.463845
950_S1C1_J,l2_sc,10hz,0.5075945,-0.45678,0.45678,0.526345833,pulse10,-71.463845
994_S4C1,l2_sc,10hz,1.003629704,NA,NA,0.685174155,single,-62.23275
994_S4C1,l2_sc,10hz,1.1288485,-0.44302425,0.44302425,0.718155143,pulse1,-62.23275
994_S4C1,l2_sc,10hz,0.9913515,-0.478182475,0.478182475,0.674602641,pulse10,-62.23275
1237_S3C1,l2_sc,10hz,0.675823354,0,0,0.641033714,single,-58.95767143
1237_S3C1,l2_sc,10hz,0.642929429,-0.450819857,0.450819857,0.587821576,pulse1,-58.95767143
1237_S3C1,l2_sc,10hz,0.728643857,-0.471356143,0.471356143,0.607203214,pulse10,-58.95767143
1082_S1C3,l2_pc,20hz,2.652,0,0,0.854185455,single,71.91
1082_S1C3,l2_pc,20hz,3.379193,-0.00268101,0.00268101,0.999207241,pulse1,71.91
1082_S1C3,l2_pc,20hz,2.79857,0,0,1,pulse10,71.91
1091_S1C1,l2_pc,20hz,1.70688778,-0.18611781,0.18611781,0.751078117,single,-68.9642
1091_S1C1,l2_pc,20hz,4.307953,-0.22642043,0.22642,0.950065864,pulse1,-68.9642
1091_S1C1,l2_pc,20hz,5.442328,0,0,1,pulse10,-68.9642
1091_S2C2,l2_pc,20hz,8.877999,0,0,0.958578841,single,-64.43512857
1091_S2C2,l2_pc,20hz,14.3503,-0.122913871,0.122913871,0.991507493,pulse1,-64.43512857
1091_S2C2,l2_pc,20hz,17.91281429,0,0,1,pulse10,-64.43512857
950_S2C1_J,l2_pc,20hz,1.007,NA,NA,0.69106604,single,-71.87078
950_S2C1_J,l2_pc,20hz,0.8639087,-0.2445291,0.2445291,0.779393034,pulse1,-71.87078
950_S2C1_J,l2_pc,20hz,0.9354691,-0.4595307,0.4595307,0.670587265,pulse10,-71.87078
956_S2C4_J,l2_pc,20hz,0.869793928,0,0,0.681342104,single,-67.845995
956_S2C4_J,l2_pc,20hz,1.29146145,-0.165569535,0.165569535,0.886365124,pulse1,-67.845995
956_S2C4_J,l2_pc,20hz,2.357869,0,0,1,pulse10,-67.845995
1242_S2C2,l2_pc,20hz,0.335660352,0,0,0.61358702,single,-74.63188
1242_S2C2,l2_pc,20hz,0.75406861,-0.2465559,0.2465559,0.753597981,pulse1,-74.63188
1242_S2C2,l2_pc,20hz,0.572819528,-0.265930263,0.265930263,0.682944466,pulse10,-74.63188
1312_S2C1,l2_pc,20hz,0.10462116,-0.070884695,0.070884695,0.501922331,single,-71.93412
1312_S2C1,l2_pc,20hz,0.27160496,-0.23151995,0.23151995,0.539836042,pulse1,-71.93412
1312_S2C1,l2_pc,20hz,0,-0.5971451,0.5971451,0,pulse10,-71.93412
1093_S3C3,l2_sc,20hz,0.591693175,-0.134422952,0.134422952,0.629627918,single,-62.14996
1093_S3C3,l2_sc,20hz,0.5843261,-0.4750488,0.4750488,0.551576312,pulse1,-62.14996
1093_S3C3,l2_sc,20hz,0.37182619,-0.8156735,0.8156735,0.313116873,pulse10,-62.14996
921_S2C2_J,l2_sc,20hz,0.300307469,NA,NA,0.479818352,single,-66.23185333
921_S2C2_J,l2_sc,20hz,0.34309892,-0.532941893,0.532941893,0.391647187,pulse1,-66.23185333
921_S2C2_J,l2_sc,20hz,0,-2.714922,2.714922,0,pulse10,-66.23185333
943_S1C1_J,l2_sc,20hz,0,-0.337623637,0.337623637,0.340610245,single,-70.76299667
943_S1C1_J,l2_sc,20hz,0.327573347,-0.356176567,0.356176567,0.479083566,pulse1,-70.76299667
943_S1C1_J,l2_sc,20hz,0,-2.388259,2.388259,0,pulse10,-70.76299667
946_S1C1,l2_sc,20hz,0.822696184,-0.483253386,0.483253386,0.551424111,single,-69.3354
946_S1C1,l2_sc,20hz,2.0085214,-0.9402283,0.9402283,0.681143401,pulse1,-69.3354
946_S1C1,l2_sc,20hz,0.21477335,-1.801788,1.801788,0.106504744,pulse10,-69.3354
949_S3C1_J,l2_sc,20hz,0.165230647,NA,NA,0.508065217,single,-66.817575
949_S3C1_J,l2_sc,20hz,0.72647945,-0.24367634,0.24367634,0.748827619,pulse1,-66.817575
949_S3C1_J,l2_sc,20hz,0.09413753,-1.11320675,1.11320675,0.077970743,pulse10,-66.817575
950_S1C1_J,l2_sc,20hz,0.361966932,-0.134528617,0.134528617,0.551492157,single,-72.43705
950_S1C1_J,l2_sc,20hz,0.586731,-0.2845193,0.2845193,0.673435636,pulse1,-72.43705
950_S1C1_J,l2_sc,20hz,0.39141926,-0.431707,0.431707,0.475527606,pulse10,-72.43705
994_S4C1,l2_sc,20hz,1.003629704,NA,NA,0.685174155,single,-64.64681
994_S4C1,l2_sc,20hz,1.0196278,-2.257559,2.257559,0.311128984,pulse1,-64.64681
994_S4C1,l2_sc,20hz,0.82744,-0.7869361,0.7869361,0.512544753,pulse10,-64.64681
1237_S3C1,l2_sc,20hz,0.675823354,0,0,1,single,-59.2762
1237_S3C1,l2_sc,20hz,1.95152,-0.04504266,0.04504,0.977441199,pulse1,-59.2762
1237_S3C1,l2_sc,20hz,2.391833,0,0,1,pulse10,-59.2762
1237_S2C1,l2_sc,20hz,0,-0.077180671,0.077180671,0,single,-63.423
1237_S2C1,l2_sc,20hz,0.330188546,-0.50575052,0.50575052,0.394991166,pulse1,-63.423
1237_S2C1,l2_sc,20hz,0.1664397,-1.415746,1.415746,0.105196059,pulse10,-63.423
1309_S4C1,l2_sc,20hz,0.10348925,-1.613000593,1.613000593,0.151552659,single,-57.56111
1309_S4C1,l2_sc,20hz,0.76422638,-2.951398,2.951398,0.205679127,pulse1,-57.56111
1309_S4C1,l2_sc,20hz,0,-3.698273,3.698273,0,pulse10,-57.56111
