density,layer,id,animal
3554.451346,l1,a,729
5773.809524,l1,b,729
3239.506173,l1,c,729
8118.518519,l1,d,727
5922.962963,l1,e,727
5570.707071,l1,f,727
6275.555556,l1,g,727
3749.206349,l1,h,719
2381.926684,l1,i,719
5565.47619,l1,j,719
2540,l1,k,719
392.6739927,l2,a,729
232.9931973,l2,b,729
446.6891134,l2,c,729
113.3786848,l2,d,727
381.3333333,l2,e,727
693.3333333,l2,f,727
47.17948718,l2,g,727
219.047619,l2,h,719
360.4826546,l2,i,719
176.1904762,l2,j,719
76.38888889,l2,k,719
292.5170068,l3,a,729
267.0068027,l3,b,729
273.6625514,l3,c,729
31.74603175,l3,d,727
19.39393939,l3,e,727
86.41975309,l3,f,727
20.95238095,l3,g,727
214.2857143,l3,h,719
155.1577153,l3,i,719
28.57142857,l3,j,719
20.83333333,l3,k,719
675.3246753,l5a,a,729
597.8835979,l5a,b,729
672.3646724,l5a,c,729
650.7936508,l5a,d,727
0,l5a,e,727
86.41975309,l5a,f,727
140.6062012,l5a,g,727
333.3336667,l5a,h,719
142.6024955,l5a,i,719
214.2857143,l5a,j,719
50,l5a,k,719
678.7878788,l5b,a,729
703.0812325,l5b,b,729
795.6104252,l5b,c,729
656.0846561,l5b,d,727
0,l5b,e,727
403.5087719,l5b,f,727
174.5458036,l5b,g,727
684.2118947,l5b,h,719
522.1878225,l5b,i,719
721.8045113,l5b,j,719
59.89583333,l5b,k,719
